check_id,run_id,run_date,report_name,source_system,location_id,check_name,records_tested,failed_records,pass_rate
DQ-000001,RUN-004670,2026-04-06,PPE Readiness Tracker,PICS,LOC-1046,incident_key_unique,162,5,0.9691
DQ-000002,RUN-004670,2026-04-06,PPE Readiness Tracker,PICS,LOC-1046,employee_partner_mapped,201,10,0.9502
DQ-000003,RUN-004670,2026-04-06,PPE Readiness Tracker,PICS,LOC-1046,source_extract_arrived,344,21,0.939
DQ-000004,RUN-002068,2026-02-14,Daily Incident Intake,Safety Logic,LOC-1026,employee_partner_mapped,93,4,0.957
DQ-000005,RUN-002068,2026-02-14,Daily Incident Intake,Safety Logic,LOC-1026,completion_date_present,337,8,0.9763
DQ-000006,RUN-002068,2026-02-14,Daily Incident Intake,Safety Logic,LOC-1026,source_extract_arrived,261,5,0.9808
DQ-000007,RUN-004666,2026-04-06,PPE Readiness Tracker,PICS,LOC-1002,incident_key_unique,233,12,0.9485
DQ-000008,RUN-004666,2026-04-06,PPE Readiness Tracker,PICS,LOC-1002,vendor_credential_current,152,11,0.9276
DQ-000009,RUN-004666,2026-04-06,PPE Readiness Tracker,PICS,LOC-1002,completion_date_present,287,17,0.9408
DQ-000010,RUN-000601,2026-01-12,Weekly Exception Review,Safety Logic,LOC-1014,corrective_action_status_valid,313,19,0.9393
DQ-000011,RUN-000601,2026-01-12,Weekly Exception Review,Safety Logic,LOC-1014,incident_key_unique,133,6,0.9549
DQ-000012,RUN-000601,2026-01-12,Weekly Exception Review,Safety Logic,LOC-1014,source_extract_arrived,153,9,0.9412
DQ-000013,RUN-007660,2026-06-08,Weekly Exception Review,Safety Logic,LOC-1038,completion_date_present,137,3,0.9781
DQ-000014,RUN-007660,2026-06-08,Weekly Exception Review,Safety Logic,LOC-1038,corrective_action_status_valid,224,6,0.9732
DQ-000015,RUN-007660,2026-06-08,Weekly Exception Review,Safety Logic,LOC-1038,vendor_credential_current,187,12,0.9358
DQ-000016,RUN-001292,2026-01-26,PPE Readiness Tracker,PICS,LOC-1034,location_id_present,84,5,0.9405
DQ-000017,RUN-001292,2026-01-26,PPE Readiness Tracker,PICS,LOC-1034,incident_key_unique,240,19,0.9208
DQ-000018,RUN-001292,2026-01-26,PPE Readiness Tracker,PICS,LOC-1034,source_extract_arrived,358,28,0.9218
DQ-000019,RUN-002111,2026-02-16,Daily Incident Intake,Safety Logic,LOC-1028,employee_partner_mapped,129,9,0.9302
DQ-000020,RUN-002111,2026-02-16,Daily Incident Intake,Safety Logic,LOC-1028,completion_date_present,175,2,0.9886
DQ-000021,RUN-002111,2026-02-16,Daily Incident Intake,Safety Logic,LOC-1028,vendor_credential_current,170,9,0.9471
DQ-000022,RUN-000411,2026-01-07,Daily Incident Intake,Safety Logic,LOC-1007,employee_partner_mapped,98,4,0.9592
DQ-000023,RUN-000411,2026-01-07,Daily Incident Intake,Safety Logic,LOC-1007,source_extract_arrived,300,17,0.9433
DQ-000024,RUN-000411,2026-01-07,Daily Incident Intake,Safety Logic,LOC-1007,location_id_present,97,0,1.0
DQ-000025,RUN-001376,2026-01-28,Daily Incident Intake,Safety Logic,LOC-1022,completion_date_present,282,4,0.9858
DQ-000026,RUN-001376,2026-01-28,Daily Incident Intake,Safety Logic,LOC-1022,corrective_action_status_valid,284,11,0.9613
DQ-000027,RUN-001376,2026-01-28,Daily Incident Intake,Safety Logic,LOC-1022,location_id_present,134,1,0.9925
DQ-000028,RUN-007615,2026-06-08,Daily Incident Intake,Safety Logic,LOC-1003,vendor_credential_current,356,13,0.9635
DQ-000029,RUN-007615,2026-06-08,Daily Incident Intake,Safety Logic,LOC-1003,incident_key_unique,275,3,0.9891
DQ-000030,RUN-007615,2026-06-08,Daily Incident Intake,Safety Logic,LOC-1003,completion_date_present,304,11,0.9638
DQ-000031,RUN-000046,2026-01-02,Daily Incident Intake,Safety Logic,LOC-1017,vendor_credential_current,146,9,0.9384
DQ-000032,RUN-000046,2026-01-02,Daily Incident Intake,Safety Logic,LOC-1017,completion_date_present,339,9,0.9735
DQ-000033,RUN-000046,2026-01-02,Daily Incident Intake,Safety Logic,LOC-1017,incident_key_unique,189,2,0.9894
DQ-000034,RUN-000547,2026-01-11,Daily Incident Intake,Safety Logic,LOC-1034,incident_key_unique,356,12,0.9663
DQ-000035,RUN-000547,2026-01-11,Daily Incident Intake,Safety Logic,LOC-1034,source_extract_arrived,148,7,0.9527
DQ-000036,RUN-000547,2026-01-11,Daily Incident Intake,Safety Logic,LOC-1034,corrective_action_status_valid,189,8,0.9577
DQ-000037,RUN-008492,2026-06-27,Daily Incident Intake,Safety Logic,LOC-1051,completion_date_present,255,5,0.9804
DQ-000038,RUN-008492,2026-06-27,Daily Incident Intake,Safety Logic,LOC-1051,source_extract_arrived,165,9,0.9455
DQ-000039,RUN-008492,2026-06-27,Daily Incident Intake,Safety Logic,LOC-1051,corrective_action_status_valid,272,9,0.9669
DQ-000040,RUN-003759,2026-03-20,Daily Incident Intake,Safety Logic,LOC-1009,source_extract_arrived,186,5,0.9731
DQ-000041,RUN-003759,2026-03-20,Daily Incident Intake,Safety Logic,LOC-1009,incident_key_unique,116,1,0.9914
DQ-000042,RUN-003759,2026-03-20,Daily Incident Intake,Safety Logic,LOC-1009,location_id_present,140,0,1.0
DQ-000043,RUN-002074,2026-02-14,Daily Incident Intake,Safety Logic,LOC-1027,location_id_present,356,2,0.9944
DQ-000044,RUN-002074,2026-02-14,Daily Incident Intake,Safety Logic,LOC-1027,completion_date_present,84,3,0.9643
DQ-000045,RUN-002074,2026-02-14,Daily Incident Intake,Safety Logic,LOC-1027,incident_key_unique,345,11,0.9681
DQ-000046,RUN-007425,2026-06-04,Daily Incident Intake,Safety Logic,LOC-1061,location_id_present,145,3,0.9793
DQ-000047,RUN-007425,2026-06-04,Daily Incident Intake,Safety Logic,LOC-1061,source_extract_arrived,282,7,0.9752
DQ-000048,RUN-007425,2026-06-04,Daily Incident Intake,Safety Logic,LOC-1061,completion_date_present,221,5,0.9774
DQ-000049,RUN-005704,2026-05-02,Ad Hoc Leader Request,Corporate Request,LOC-1021,completion_date_present,152,6,0.9605
