run_id,run_date,report_name,cadence,source_system,location_id,region,division,support_tier,sla_hours,refresh_delay_hours,sla_met,records_expected,completeness_rate,duplicate_keys,unmapped_records,completed_at
RUN-000001,2026-01-01,Daily Incident Intake,daily,Safety Logic,LOC-1041,Southeast,First Aid & Safety,high_touch,7,5.45,True,193,0.9684,3,2,2026-01-01T13:26:42.845755312
RUN-000002,2026-01-01,Daily Incident Intake,daily,Safety Logic,LOC-1024,Midwest,Facility Services,standard,7,0.58,True,211,0.9617,0,3,2026-01-01T08:34:40.225838625
RUN-000003,2026-01-01,Daily Incident Intake,daily,Safety Logic,LOC-1009,Great Lakes,Fire Protection,high_touch,7,3.76,True,227,0.9879,1,5,2026-01-01T11:45:20.554389093
RUN-000004,2026-01-01,Daily Incident Intake,daily,Safety Logic,LOC-1034,Northeast,Facility Services,standard,7,1.48,True,298,0.993,1,3,2026-01-01T09:28:54.347650382
RUN-000005,2026-01-01,Daily Incident Intake,daily,Safety Logic,LOC-1045,Southeast,Fire Protection,high_touch,7,3.48,True,93,0.957,1,2,2026-01-01T11:28:53.629497286
RUN-000006,2026-01-01,Daily Incident Intake,daily,Safety Logic,LOC-1025,Northeast,Uniform Rental,standard,7,5.93,True,322,0.9756,2,3,2026-01-01T13:55:41.866488498
RUN-000007,2026-01-01,Daily Incident Intake,daily,Safety Logic,LOC-1050,South Central,Uniform Rental,standard,7,2.25,True,291,0.9756,2,1,2026-01-01T10:15:10.417647180
RUN-000008,2026-01-01,Daily Incident Intake,daily,Safety Logic,LOC-1029,Northeast,First Aid & Safety,standard,7,2.37,True,157,0.9692,4,2,2026-01-01T10:22:21.836807642
RUN-000009,2026-01-01,Daily Incident Intake,daily,Safety Logic,LOC-1038,Southeast,Uniform Rental,high_touch,7,4.12,True,97,0.9561,1,1,2026-01-01T12:07:00.347976926
RUN-000010,2026-01-01,Daily Incident Intake,daily,Safety Logic,LOC-1019,Midwest,Fire Protection,standard,7,3.83,True,383,0.9831,3,2,2026-01-01T11:49:41.905940645
RUN-000011,2026-01-01,Daily Incident Intake,daily,Safety Logic,LOC-1042,Southeast,First Aid & Safety,high_touch,7,7.61,False,358,0.9317,2,3,2026-01-01T15:36:35.664697341
RUN-000012,2026-01-01,Daily Incident Intake,daily,Safety Logic,LOC-1022,Midwest,Facility Services,high_touch,7,6.25,True,98,0.9732,0,3,2026-01-01T14:14:53.884177951
RUN-000013,2026-01-01,Daily Incident Intake,daily,Safety Logic,LOC-1040,Southeast,First Aid & Safety,high_touch,7,4.73,True,282,0.9433,2,2,2026-01-01T12:43:32.637570843
RUN-000014,2026-01-01,Daily Incident Intake,daily,Safety Logic,LOC-1059,South Central,Facility Services,standard,7,6.3,True,318,0.9827,3,2,2026-01-01T14:18:04.937655549
RUN-000015,2026-01-01,Daily Incident Intake,daily,Safety Logic,LOC-1069,West,Fire Protection,standard,7,2.43,True,381,0.9799,0,2,2026-01-01T10:25:39.478205934
RUN-000016,2026-01-01,Daily Incident Intake,daily,Safety Logic,LOC-1020,Midwest,Fire Protection,standard,7,0.62,True,366,0.999,2,1,2026-01-01T08:37:16.052562364
RUN-000017,2026-01-01,Daily Incident Intake,daily,Safety Logic,LOC-1031,Northeast,Fire Protection,standard,7,3.55,True,223,0.9807,2,0,2026-01-01T11:32:56.775089121
