exception_id,run_id,run_date,report_name,source_system,location_id,region,division,exception_type,severity,owner_group,age_days,status,resolution_hours,requires_field_followup
EXC-000001,RUN-000001,2026-01-01,Daily Incident Intake,Safety Logic,LOC-1041,Southeast,First Aid & Safety,rollout_training_gap,medium,Corporate Safety,1,closed,41.2,True
EXC-000002,RUN-000019,2026-01-01,Daily Incident Intake,Safety Logic,LOC-1035,Northeast,Facility Services,open_corrective_action,critical,Data Steward,17,closed,127.5,True
EXC-000003,RUN-000019,2026-01-01,Daily Incident Intake,Safety Logic,LOC-1035,Northeast,Facility Services,duplicate_incident_key,low,Corporate Safety,1,closed,46.3,False
EXC-000004,RUN-000020,2026-01-01,Daily Incident Intake,Safety Logic,LOC-1049,South Central,Uniform Rental,unmapped_employee_partner,low,Data Steward,4,closed,51.5,True
EXC-000005,RUN-000020,2026-01-01,Daily Incident Intake,Safety Logic,LOC-1049,South Central,Uniform Rental,invalid_vendor_credential,high,Field Safety Lead,6,closed,67.6,False
EXC-000006,RUN-000025,2026-01-01,Daily Incident Intake,Safety Logic,LOC-1001,Great Lakes,Uniform Rental,missing_location_id,medium,Corporate Safety,11,closed,110.3,False
EXC-000007,RUN-000026,2026-01-01,Daily Incident Intake,Safety Logic,LOC-1048,Southeast,Facility Services,duplicate_incident_key,critical,Field Safety Lead,5,open,,False
EXC-000008,RUN-000027,2026-01-01,Daily Incident Intake,Safety Logic,LOC-1046,Southeast,Facility Services,invalid_vendor_credential,high,Corporate Safety,15,open,,False
EXC-000009,RUN-000029,2026-01-01,Daily Incident Intake,Safety Logic,LOC-1062,West,Uniform Rental,missing_location_id,medium,Data Steward,3,closed,36.2,False
EXC-000010,RUN-000034,2026-01-02,Daily Incident Intake,Safety Logic,LOC-1030,Northeast,First Aid & Safety,missing_completion_date,high,Vendor Coordinator,5,closed,53.1,False
EXC-000011,RUN-000035,2026-01-02,Daily Incident Intake,Safety Logic,LOC-1038,Southeast,Uniform Rental,rollout_training_gap,low,Field Safety Lead,2,closed,39.0,True
